order_id,order_date,region,destination_city,category,payment_method,sales_amount,discount_pct,quantity,return_status,customer_type
ORD-100000,2024-12-13,Northeast,New York,Beauty,Apple Pay,44.59,10,1,Not Returned,New
ORD-100001,05/16/2025,Northeast,Boston,Fashion,Credit Card,47.42,10,1,Not Returned,Loyal
ORD-100002,2024-04-19,West,San Francisco,Beauty,Credit Card,172.76,5,4,Not Returned,Loyal
ORD-100003,2025-10-30,Northeast,Buffalo,Fashion,Debit Card,189.15,0,3,Returned,Returning
ORD-100004,2025-05-17,Northeast,Philadelphia,Electronics,Credit Card,705.43,5,3,Not Returned,Returning
ORD-100005,2024-02-27,South,Houston,Sports,Debit Card,53.81,5,1,Not Returned,Returning
ORD-100006,2024-11-02,Northeast,Pittsburgh,Home,,103.74,15,1,Not Returned,Returning
ORD-100007,2024-05-17,West,Phoenix,Home,Debit Card,68.47,0,1,Not Returned ,Returning
ORD-100008,2025-04-19,West,Las Vegas,Toys,PayPal,81.41,20,2,Not Returned,Returning
ORD-100009,2025-06-05,Midwest,Chicago,Home,Debit Card,406.34,5,3,Not Returned,Loyal
ORD-100010,2024-12-12,West,Seattle,Electronics,Apple Pay,207.37,15,1,Not Returned,Returning
ORD-100011,2024-07-30,South,Nashville,Electronics,PayPal,97.83,,1,,Returning
ORD-100012,2025-09-11,South,Atlanta,Toys,Debit Card,19.44,10,1,Not Returned,New
ORD-100013,2024-01-18,Midwest,Detroit,Sports,Debit Card,144.1,15,1,Returned,New
ORD-100014,2025-06-13,West,Las Vegas,Pet Supplies,,92.55,15,1,Exchange,Returning
ORD-100015,2025-12-21,West,San Diego,Electronics,Gift Card,196.49,0,2,Returned,New
ORD-100016,2025-11-03,Northeast,Newark,Home,PayPal,180.12,15,2,Not Returned,Returning
ORD-100017,2025-11-17,West,San Francisco,Electronics,Credit Card,117.12,5,1,Not Returned,Loyal
ORD-100018,2025-11-09,Northeast,Buffalo,Home,PayPal,39.69,0,1,Not Returned,Loyal
ORD-100019,2025-01-20,Midwest,Columbus,Toys,debit card,45.66,5,1,Not Returned,New
ORD-100020,2025-03-03,Northeast,Philadelphia,Fashion,Credit Card,100.75,5,1,not returned,Returning
ORD-100021,2025-05-03,South,Atlanta,Electronics,Credit Card,215.86,,2,Returned,Returning
ORD-100022,2025-12-26,Midwest,Chicago,Toys,Apple Pay,49.42,25,1,Not Returned,Returning
ORD-100023,2025-05-30,Midwest,Minneapolis,Fashion,Debit Card,45.63,0,1,Not Returned,Returning
ORD-100024,2025/05/19,Midwest,Minneapolis,Fashion,,115.34,0,2,Not Returned,Loyal
ORD-100025,2024-03-29,South,Atlanta,Beauty,Credit Card,22.07,15,1,NOT RETURNED,Returning
ORD-100026,06/02/2024,West,San Diego,Fashion,Credit Card,58.39,15,1,Not Returned,Returning
ORD-100027,05/29/2025,South,Atlanta,Home,Credit Card,56.01,10,1,,Returning
ORD-100028,2024-12-13,Midwest,St. Louis,Fashion,Credit Card,194.32,20,2,Returned,Returning
ORD-100029,2025-12-06,West,Las Vegas,Home,Debit Card,125.6,15,1,Not Returned,New
ORD-100030,2025-11-03,Northeast,Newark,Sports,Debit Card,245.32,10,2,Not Returned,Loyal
ORD-100031,2025-08-14,South,Dallas,Home,Debit Card,110.63,0,1,Not Returned,Returning
ORD-100032,2025-06-02,Northeast,Buffalo,Fashion,,34.24,15,1,Not Returned,Loyal
ORD-100033,2024-05-05,West,San Diego,Fashion,PayPal,66.29,10,1,Not Returned,Returning
ORD-100034,02/05/2025,Northeast,Boston,Beauty,Apple Pay,41.03,0,2,Not Returned,Returning
ORD-100035,2025-12-06,Northeast,Pittsburgh,Pet Supplies,PayPal,99.82,5,1,Not Returned,Returning
ORD-100036,2024-09-11,West,Seattle,Electronics,Credit Card,203.77,20,2,Not Returned,New
ORD-100037,2024-08-09,Midwest,Chicago,Fashion,Debit Card,44.98,5,1,Not Returned,New
ORD-100038,2024-01-07,Northeast,Pittsburgh,Sports,Credit Card,141.17,10,1,Not Returned,New
ORD-100039,2024-08-19,Northeast,Newark,Electronics,Credit Card,370.9,20,4,Not Returned,Returning
ORD-100040,2025-12-08,Midwest,Detroit,Beauty,Credit Card,44.75,15,1,,Returning
ORD-100041,2025-09-19,West,San Diego,Fashion,Credit Card,177.93,15,2,Returned,Returning
ORD-100042,2024-04-10,Midwest,Detroit,Electronics,Apple Pay,121.44,0,1,Not Returned,New
ORD-100043,2025-04-08,South,Atlanta,Electronics,Credit Card,212.83,10,2,Not Returned,New
ORD-100044,2024-05-12,Northeast,Boston,Fashion,PayPal,213.11,0,3,Not Returned,Returning
ORD-100045,2024-07-23,Midwest,Minneapolis,Office Supplies,debit card,43.4,15,2,Not Returned,New
ORD-100046,2025-03-09,South,Nashville,Pet Supplies,Debit Card,23.5,20,1,Exchange,Returning
ORD-100047,2025-07-02,South,Houston,Electronics,Credit Card,103.87,20,1,Not Returned,New
ORD-100048,2024-02-16,South,Charlotte,Electronics,PayPal,277.2,15,2,Not Returned,New
ORD-100049,2025-04-08,Northeast,Philadelphia,Home,Debit Card,146.99,0,3,Not Returned,New
ORD-100050,2024-10-21,West,Las Vegas,Home,PayPal,43.71,0,1,NOT RETURNED,Returning
ORD-100051,2024-12-18,South,Miami,Toys,Buy Now Pay Later,259.42,20,5,Returned,Returning
ORD-100052,2025-03-25,West,San Diego,Fashion,Credit Card,74.12,10,1,Not Returned,Returning
